 Rk,Player,Pos,Age,Tm,PER▼,3PAr,Player-additional
1,Nikola Jokić,C,27,DEN,31.5,.146,jokicni01
2,Joel Embiid,C,28,PHI,31.4,.151,embiijo01
3,Giannis Antetokounmpo,PF,28,MIL,29.0,.134,antetgi01
4,Luka Dončić,PG,23,DAL,28.7,.373,doncilu01
5,Anthony Davis,C,29,LAL,27.8,.077,davisan02
6,Jimmy Butler,PF,33,MIA,27.6,.116,butleji01
7,Shai Gilgeous-Alexander,PG,24,OKC,27.2,.122,gilgesh01
8,Damian Lillard,PG,32,POR,26.7,.547,lillada01
9,Kevin Durant,PF,34,TOT,25.9,.267,duranke01
10,Stephen Curry,PG,34,GSW,24.1,.564,curryst01
11,LeBron James,PF,38,LAL,23.9,.309,jamesle01
12,Kawhi Leonard,SF,31,LAC,23.9,.287,leonaka01
13,Jayson Tatum,SF,24,BOS,23.7,.440,tatumja01
14,Tyrese Haliburton,PG,22,IND,23.6,.478,halibty01
15,Domantas Sabonis,C,26,SAC,23.5,.088,sabondo01
16,Ja Morant,PG,23,MEM,23.3,.247,moranja01
17,Kristaps Porziņģis,C,27,WAS,23.1,.350,porzikr01
18,Donovan Mitchell,SG,26,CLE,22.9,.453,mitchdo01
19,Kyrie Irving,PG-SG,30,TOT,22.4,.412,irvinky01
20,Clint Capela,C,28,ATL,22.1,.002,capelca01
21,Lauri Markkanen,PF,25,UTA,22.1,.446,markkla01
22,Devin Booker,SG,26,PHO,22.0,.296,bookede01
23,Trae Young,PG,24,ATL,22.0,.331,youngtr01
24,De'Aaron Fox,PG,25,SAC,21.8,.276,foxde01
25,James Harden,PG,33,PHI,21.6,.496,hardeja01
26,Jaren Jackson Jr.,C,23,MEM,21.6,.343,jacksja02
27,Walker Kessler,C,21,UTA,21.5,.007,kesslwa01
28,Jalen Brunson,PG,26,NYK,21.2,.269,brunsja01
29,Jakob Poeltl,C,27,TOT,21.0,.002,poeltja01
30,Nic Claxton,C,23,BRK,20.8,.003,claxtni01
31,DeMar DeRozan,SF,33,CHI,20.6,.109,derozde01
32,Christian Wood,C,27,DAL,20.6,.363,woodch01
33,Julius Randle,PF,28,NYK,20.3,.444,randlju01
