Rk,Player,PTS,Player-additional
,,,-9999
1,Precious Achiuwa,9.2,achiupr01
2,Steven Adams,8.6,adamsst01
3,Bam Adebayo,20.4,adebaba01
4,Ochai Agbaji,7.9,agbajoc01
5,Santi Aldama,9.0,aldamsa01
6,Nickeil Alexander-Walker,6.2,alexani01
6,Nickeil Alexander-Walker,6.3,alexani01
6,Nickeil Alexander-Walker,5.9,alexani01
7,Grayson Allen,10.4,allengr01
8,Jarrett Allen,14.3,allenja01
9,Jose Alvarado,9.0,alvarjo01
10,Kyle Anderson,9.4,anderky01
11,Giannis Antetokounmpo,31.1,antetgi01
12,Thanasis Antetokounmpo,1.4,antetth01
13,Cole Anthony,13.0,anthoco01
14,OG Anunoby,16.8,anunoog01
15,Ryan Arcidiacono,1.3,arcidry01
15,Ryan Arcidiacono,0.3,arcidry01
15,Ryan Arcidiacono,2.6,arcidry01
16,Deni Avdija,9.2,avdijde01
17,Deandre Ayton,18.0,aytonde01
18,Udoka Azubuike,3.5,azubuud01
19,Marvin Bagley III,12.0,baglema01
20,Patrick Baldwin Jr.,3.9,baldwpa01
21,LaMelo Ball,23.3,ballla01
22,Mo Bamba,6.6,bambamo01
22,Mo Bamba,7.3,bambamo01
22,Mo Bamba,3.7,bambamo01
23,Paolo Banchero,20.0,banchpa01
24,Desmond Bane,21.5,banede01
25,Dalano Banton,4.6,bantoda01
26,Dominick Barlow,3.9,barlodo01
27,Harrison Barnes,15.0,barneha02
28,Scottie Barnes,15.3,barnesc01
29,RJ Barrett,19.6,barrerj01
30,Will Barton,6.8,bartowi01
30,Will Barton,7.7,bartowi01
30,Will Barton,4.5,bartowi01
31,Charles Bassey,5.7,bassech01
32,Keita Bates-Diop,9.7,bateske01
33,Nicolas Batum,6.1,batumni01
34,Darius Bazley,5.2,bazleda01
34,Darius Bazley,5.4,bazleda01
34,Darius Bazley,4.0,bazleda01
35,Bradley Beal,23.2,bealbr01
36,Malik Beasley,12.7,beaslma01
36,Malik Beasley,13.4,beaslma01
36,Malik Beasley,11.1,beaslma01
37,MarJon Beauchamp,5.1,beaucma01
38,Dāvis Bertāns,4.6,bertada01
39,Patrick Beverley,6.2,beverpa01
39,Patrick Beverley,6.4,beverpa01
39,Patrick Beverley,5.8,beverpa01
40,Saddiq Bey,13.8,beysa01
40,Saddiq Bey,14.8,beysa01
40,Saddiq Bey,11.6,beysa01
41,Khem Birch,2.2,birchkh01
42,Goga Bitadze,4.4,bitadgo01
42,Goga Bitadze,3.3,bitadgo01
42,Goga Bitadze,5.8,bitadgo01
43,Bismack Biyombo,4.3,biyombi01
44,Buddy Boeheim,1.6,boehebu01
45,Bogdan Bogdanović,14.0,bogdabo01
46,Bojan Bogdanović,21.6,bogdabo02
47,Bol Bol,9.1,bolbo01
48,Leandro Bolmaro,0.4,bolmale01
49,Devin Booker,27.8,bookede01
50,Brandon Boston Jr.,6.5,bostobr01
51,Chris Boucher,9.4,bouchch01
52,James Bouknight,5.6,bouknja01
53,Jamaree Bouyea,3.0,bouyeja01
53,Jamaree Bouyea,3.8,bouyeja01
53,Jamaree Bouyea,0.0,bouyeja01
54,Tony Bradley,1.6,bradlto01
55,Malaki Branham,10.2,branhma01
56,Jarrell Brantley,5.5,brantja01
57,Christian Braun,4.7,braunch01
58,Mikal Bridges,20.1,bridgmi01
58,Mikal Bridges,17.2,bridgmi01
58,Mikal Bridges,26.1,bridgmi01
59,Oshae Brissett,6.1,brissos01
60,Malcolm Brogdon,14.9,brogdma01
61,Dillon Brooks,14.3,brookdi01
62,Bruce Brown,11.5,brownbr01
63,Greg Brown III,1.8,browngr01
64,Jaylen Brown,26.6,brownja02
65,Kendall Brown,1.5,brownke03
66,Moses Brown,4.3,brownmo01
66,Moses Brown,4.6,brownmo01
66,Moses Brown,0.0,brownmo01
67,Sterling Brown,0.0,brownst02
68,Troy Brown Jr.,7.1,browntr01
69,Jalen Brunson,24.0,brunsja01
70,Thomas Bryant,9.8,bryanth01
70,Thomas Bryant,12.1,bryanth01
70,Thomas Bryant,4.6,bryanth01
71,Reggie Bullock,7.2,bullore01
72,Alec Burks,12.8,burksal01
73,Deonte Burton,0.0,burtode02
74,Jared Butler,6.2,butleja02
75,Jimmy Butler,22.9,butleji01
76,John Butler,2.4,butlejo01
77,Jamal Cain,5.4,cainja01
78,Kentavious Caldwell-Pope,10.8,caldwke01
79,Facundo Campazzo,1.3,campafa01
80,Vlatko Čančar,5.0,cancavl01
81,Clint Capela,12.0,capelca01
82,Vernon Carey Jr.,0.5,careyve01
83,Jevon Carter,8.0,carteje01
84,Wendell Carter Jr.,15.2,cartewe01
85,Michael Carter-Williams,4.3,cartemi01
86,Alex Caruso,5.6,carusal01
87,Julian Champagnie,9.7,champju02
87,Julian Champagnie,0.0,champju02
87,Julian Champagnie,11.0,champju02
88,Justin Champagnie,2.2,champju01
88,Justin Champagnie,2.0,champju01
88,Justin Champagnie,2.5,champju01
89,Kennedy Chandler,2.2,chandke01
90,Max Christie,3.1,chrisma02
91,Josh Christopher,5.8,chrisjo01
92,Brandon Clarke,10.0,clarkbr01
